Histórico;Contra;Débito;Crédito;Saldo
6 - BANCOS CONTA MOVIMENTO615 - SICOOB ;;Saldo anterior:;;152.831,10
;;;;
;;;;
Pagamento 125 - DARF Previdenciário - Cliente;828;;2.799,67;434.977,83
Pagamento 125 - DARF Previdenciário - Cliente;828;;1.005,66;433.972,17
Pagamento 125 - DARF Previdenciário - Cliente;828;;464,28;433.507,89
Pagamento 125 - DARF Previdenciário - Cliente;828;;2.097,48;431.410,41
Pagamento 125 - DARF Previdenciário - Cliente;828;;249,72;431.160,69
Pagamento 125 - DARF Previdenciário - Cliente;828;;698,17;430.462,52
Pagamento 125 - DARF Previdenciário - Cliente;828;;1.336,33;429.126,19
Pagamento 125 - DARF Previdenciário - Cliente;828;;3.047,30;426.078,89
Pagamento 125 - DARF Previdenciário - Cliente;828;;197,01;425.881,88
Pagamento 125 - DARF Previdenciário - Cliente;828;;4.611,09;421.270,79
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;389,04;420.881,75
Pagamento 125 - DARF Previdenciário - Cliente;828;;507,38;420.374,37
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;2.530,26;417.844,11
Pagamento 125 - DARF Previdenciário - Cliente;828;;1.315,84;416.528,27
Pagamento 120 - ISSQN - Cliente;828;;22,95;416.505,32
Pagamento 120 - ISSQN - Cliente;828;;22,67;416.482,65
Pagamento 120 - ISSQN - Cliente;828;;11,61;416.471,04
Pagamento 120 - ISSQN - Cliente;828;;20,97;416.450,07
Pagamento 120 - ISSQN - Cliente;828;;20,82;416.429,25
Pagamento 120 - ISSQN - Cliente;828;;20,68;416.408,57
Pagamento 120 - ISSQN - Cliente;828;;20,42;416.388,15
Pagamento 120 - ISSQN - Cliente;828;;20,14;416.368,01
Pagamento 120 - ISSQN - Cliente;828;;19,93;416.348,08
Pagamento 120 - ISSQN - Cliente;828;;19,69;416.328,39
Desconto concedido ref.: Recebimento 87 - CLINICA ODONTOLOGICA AGUA LIMPA LTDA, ref 01/2026;564;;680;415.648,39
Pagamento 120 - ISSQN - Cliente;828;;11,01;415.637,38
Pagamento 120 - ISSQN - Cliente;828;;1.480,18;414.157,20
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;1.193,72;412.963,48
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;856,42;412.107,06
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;776,39;411.330,67
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;269,81;411.060,86
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;2.672,13;408.388,73
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;10.370,65;398.018,08
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;10.355,53;387.662,55
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;669,88;386.992,67
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;4.407,11;382.585,56
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;10.261,99;372.323,57
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;2.293,96;370.029,61
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;9.984,76;360.044,85
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;26.132,84;333.912,01
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;10.782,65;323.129,36
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;981,94;322.147,42
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;571,2;321.576,22
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;2.072,52;319.503,70
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;3.423,75;316.079,95
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;1.975,57;314.104,38
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;7.956,91;306.147,47
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;33.247,60;272.899,87
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;427,11;272.472,76
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;11.365,04;261.107,72
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;3.059,34;258.048,38
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;2.837,27;255.211,11
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;167,32;255.043,79
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;11.589,44;243.454,35
Pagamento 125 - DARF Previdenciário - Cliente;828;;2.849,35;240.605,00
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;5.962,52;234.642,48
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;25.148,60;209.493,88
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;9.655,10;199.838,78
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;502,21;199.336,57
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;14.948,32;184.388,25
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;31.102,38;153.285,87
Pagamento 120 - ISSQN - Cliente;828;;1.237,52;152.048,35
Pagamento 120 - ISSQN - Cliente;828;;584,52;151.463,83
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;3.610,86;147.852,97
Pagamento 120 - ISSQN - Cliente;828;;9,18;147.843,79
Pagamento 120 - ISSQN - Cliente;828;;12,29;147.831,50
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;687,21;147.144,29
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;6.253,47;140.890,82
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;930,85;139.959,97
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;420;139.539,97
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;9.252,50;130.287,47
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;613,06;129.674,41
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;30.131,96;99.542,45
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;1.073,63;98.468,82
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;2.899,68;95.569,14
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;1.115,06;94.454,08
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;900;93.554,08
Pagamento 125 - DARF Previdenciário - Cliente;828;;696,69;92.857,39
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;4.383,07;88.474,32
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;1.719,37;86.754,95
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;349,13;86.405,82
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;290,41;86.115,41
Pagamento 75 - FGTS - Reembolso trabalhista - Cliente;828;;688,35;85.427,06
Pagamento 114 - Reembolso Imposto Estadual ICMS - Cliente;828;;5.005,18;80.421,88
;;;;
23/02/2026;;;;
Recebimento 36 - CENTRAL SOM & CHAVES LTDA ME, ref 01/2026;828;13.262,68;;93.684,56
;;;;
Recebimento 514 - Camila Gomes Barbosa Gonzaga 11929478607, ref 01/2026;828;504,21;;94.188,77
Recebimento 49 - REMASK COMERCIO E SERVICOS LTDA - ME, ref 01/2026;828;197,01;;94.385,78
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;35,78;94.350,00
Pagamento 34 - DAS - Reembolso Imposto Federal - Cliente;828;;126,05;94.223,95
;;;;
24/02/2026;;;;
Recebimento 147 - BRUM LINHARES SERVICOS MEDICOS LTDA, ref 01/2026;828;1.561,72;;95.785,67
;;;;
Recebimento 347 - Rovenio Mendes Linhare, ref 01/2026;828;1.073,13;;96.858,80
Recebimento 646 - NTDMS CARDIOSAUDE LTDA, ref 01/2026;828;502,51;;97.361,31
Recebimento 613 - INCONFIDENTES VEICULOS LTDA, ref 12/2025;828;470,58;;97.831,89
Recebimento 613 - INCONFIDENTES VEICULOS LTDA, ref 01/2026;;554,6;;98.386,49
Recebimento 586 - HABITHUS SAUDE E PERFORMACE LTDA, ref 01/2026;828;1.171,25;;99.557,74
Pagamento 147 - DAS Parcelamento - Reembolso de cliente;828;;704,04;98.853,70
Pagamento 147 - DAS Parcelamento - Reembolso de cliente;828;;437,3;98.416,40
;;;;
27/02/2026;;;;
Recebimento 105 - RENATA REIS TROPIA 10171945646, ref 01/2026;828;2.843,03;;101.259,43
;;;;
Recebimento 327 - Christopher George Boaventura Quintao Diniz, ref 02/2026;828;445,76;;101.705,19
Total mêsa débito:;432.235,13;Total mês a crédito:;483.361,04;
Conta SICOOB - Total de débitos:;432.235,13;Total de créditos:;483.361,04;
